"NAME","B08133_001E","B08011_001E","B08011_007E","B08133_007E","B08011_008E","B08133_008E","B08011_009E","B08133_009E","B08011_010E","B08133_010E","B08011_011E","B08133_011E","B08011_012E","B08133_012E","B08011_013E","B08133_013E","B08136_002E","B08136_007E","B08136_012E","B08006_002E","B08006_008E","B08006_016E","B19013_001E","state","county","tract"
"Census Tract 124.01, Providence County, Rhode Island","65260","3694","449","9615","392","6980","443","6780","320","5940","407","6850","55","1490","49","1010","","","","3677","1","0","57370","44","007","012401"
"Census Tract 152, Providence County, Rhode Island","","695","49","","55","","39","","0","","23","","19","","12","","","","","637","36","0","12676","44","007","015200"
"Census Tract 153, Providence County, Rhode Island","","871","86","","95","","73","","13","","68","","25","","23","","","","","789","51","0","30595","44","007","015300"
"Census Tract 158, Providence County, Rhode Island","","1677","169","","332","","146","","116","","48","","0","","21","","","","","1624","27","0","54627","44","007","015800"
"Census Tract 167, Providence County, Rhode Island","","1362","245","","63","","128","","130","","80","","0","","17","","","","","1128","106","9","34577","44","007","016700"
"Census Tract 175, Providence County, Rhode Island","","1690","132","","219","","129","","126","","91","","23","","10","","","","","1596","33","61","49104","44","007","017500"
"Census Tract 29, Providence County, Rhode Island","","2949","325","","343","","572","","45","","108","","95","","22","","","","","2637","102","88","41776","44","007","002900"
"Census Tract 11, Providence County, Rhode Island","","1310","133","","205","","148","","165","","108","","72","","70","","","","","860","105","0","42083","44","007","001100"
"Census Tract 131.02, Providence County, Rhode Island","84965","2868","496","15290","378","10760","273","6965","83","1565","262","4660","80","1825","0","-666666666","","","","2831","31","6","84713","44","007","013102"
"Census Tract 104, Providence County, Rhode Island","73770","3118","311","13910","439","6240","285","5455","170","3025","245","3955","32","385","47","840","","","","2732","311","56","49895","44","007","010400"
"Census Tract 105.02, Providence County, Rhode Island","","2192","304","","517","","252","","191","","135","","66","","12","","","","","2103","13","20","51568","44","007","010502"
"Census Tract 107.01, Providence County, Rhode Island","","1012","162","","194","","88","","71","","70","","33","","0","","","","","1004","0","8","59583","44","007","010701"
"Census Tract 128.02, Providence County, Rhode Island","","1187","166","","138","","173","","99","","48","","38","","21","","","","","1146","14","27","69712","44","007","012802"
"Census Tract 132.01, Providence County, Rhode Island","","2429","474","","240","","419","","81","","182","","90","","27","","","","","2362","0","11","76673","44","007","013201"
"Census Tract 1.01, Providence County, Rhode Island","","1898","219","","243","","113","","91","","170","","120","","20","","","","","1330","178","43","33460","44","007","000101"
"Census Tract 16, Providence County, Rhode Island","","3274","408","","229","","705","","106","","578","","59","","88","","","","","2647","360","209","36675","44","007","001600"
"Census Tract 22, Providence County, Rhode Island","40465","2005","188","2935","178","3310","163","3405","61","755","237","5615","154","840","0","-666666666","","","","1692","218","15","33472","44","007","002200"
"Census Tract 5, Providence County, Rhode Island","","871","259","","64","","76","","131","","33","","29","","0","","","","","561","241","12","24523","44","007","000500"
