,NAME,B08133_001E,B08011_001E,B08011_007E,B08133_007E,B08011_008E,B08133_008E,B08011_009E,B08133_009E,B08011_010E,B08133_010E,B08011_011E,B08133_011E,B08011_012E,B08133_012E,B08011_013E,B08133_013E,B08136_002E,B08136_007E,B08136_012E,B08006_002E,B08006_008E,B08006_016E,B19013_001E,B08006_001E,B08201_001E,B08201_002E,B25003_001E,B25003_002E,B25003_003E,state,zip code tabulation area,avg_time_agg,avg_time_to_work_7_8am,avg_time_to_work_8_9am,avg_time_to_work_9_10am,avg_travel_ctv,avg_travel_pt,pct_workers_ctv,pct_workers_pt,pct_households_no_car,pct_households_min_car,pct_renter_occupied_units,pct_owner_occupied_units,year
59,ZCTA5 02871,171755.0,7631,801,19395.0,1116,20970.0,1324,26065.0,640,12320.0,396,6670.0,305,5265.0,132,3780.0,163060.0,3735.0,1320.0,7159,109,90,75303.0,7860,6916,417,6916,5159,1757,44,2871,22.507535054383435,21.056338028169016,19.54429735234216,17.02567760342368,22.776924151417795,34.26605504587156,91.08142493638677,1.3867684478371503,6.029496818970504,1558.5131894484412,25.40485829959514,74.59514170040485,2015
60,ZCTA5 02911,186625.0,7821,1267,30855.0,1004,20030.0,1027,21550.0,677,14060.0,284,5230.0,233,6900.0,59,750.0,169420.0,14000.0,1300.0,7351,248,51,52997.0,8130,6685,617,6685,3824,2861,44,2911,23.86203810254443,22.406428885953325,20.89788732394366,23.46228239845261,23.047204461977962,56.45161290322581,90.41820418204182,3.050430504305043,9.229618548990278,983.4683954619126,42.797307404637245,57.20269259536275,2015
61,ZCTA5 02809,253840.0,10174,1400,44770.0,1349,34940.0,1066,24745.0,510,10135.0,608,10720.0,419,8090.0,201,3545.0,,,,9199,137,96,62493.0,10672,8389,569,8389,5622,2767,44,2809,24.94987222331433,28.995998544925428,22.131979695431472,18.315481986368063,,,86.19752623688156,1.2837331334332835,6.782691619978544,1374.340949033392,32.98366909047562,67.01633090952438,2015
62,ZCTA5 02830,,2975,530,,365,,224,,162,,156,,112,,27,,,,,2924,15,0,62904.0,3130,2547,131,2547,1839,708,44,2830,,,,,,,93.4185303514377,0.4792332268370607,5.143305850019631,1844.2748091603055,27.79740871613663,72.20259128386337,2015
63,ZCTA5 02839,,782,124,,88,,53,,0,,12,,30,,27,,,,,782,0,0,61023.0,782,567,7,567,436,131,44,2839,,,,,,,100.0,0.0,1.2345679012345678,8000.0,23.10405643738977,76.89594356261023,2015
64,ZCTA5 02875,,268,58,,80,,13,,14,,0,,0,,0,,,,,268,0,0,85096.0,268,173,0,173,83,90,44,2875,,,,,,,100.0,0.0,0.0,inf,52.02312138728323,47.97687861271676,2015
65,ZCTA5 02807,,331,77,,57,,37,,10,,49,,0,,2,,,,,286,7,0,84750.0,479,426,19,426,330,96,44,2807,,,,,,,59.707724425887264,1.4613778705636742,4.460093896713615,2142.105263157895,22.535211267605636,77.46478873239437,2015
66,ZCTA5 02852,251520.0,10813,1350,34195.0,1776,39950.0,1631,36820.0,880,20855.0,763,13415.0,337,5425.0,116,1885.0,240040.0,8275.0,1355.0,10409,198,38,75746.0,11312,8960,557,8960,6370,2590,44,2852,23.260889669841855,23.718809980806142,22.9689366786141,17.12727272727273,23.06081275819003,41.792929292929294,92.01732673267327,1.7503536067892504,6.216517857142858,1508.617594254937,28.90625,71.09375,2015
67,ZCTA5 02879,231570.0,9340,1597,43730.0,1409,33160.0,1342,30060.0,625,11420.0,604,11110.0,245,8300.0,197,1850.0,211950.0,13240.0,3890.0,8779,159,128,70076.0,9829,8248,671,8248,6037,2211,44,2879,24.79336188436831,25.57884231536926,21.087951194712762,22.862190812720847,24.14284087025857,83.27044025157232,89.31732627937735,1.6176620205514296,8.135305528612998,1129.2101341281668,26.806498545101842,73.19350145489815,2015
68,ZCTA5 02886,315170.0,13606,1819,48650.0,2085,46630.0,1954,39040.0,1134,22775.0,1162,27675.0,154,2270.0,191,2765.0,297905.0,13130.0,2940.0,13093,218,91,66598.0,14024,12427,825,12427,8390,4037,44,2886,23.16404527414376,24.40573770491803,20.017810880829014,22.75455927051672,22.752997785075994,60.22935779816514,93.36138049058756,1.5544780376497433,6.63877041924841,1406.3030303030303,32.48571658485556,67.51428341514443,2015
